"LbLPEIPAZO_145047.spc - RawData"
"Wavelength nm.","Abs."
400.00,0.135620
401.00,0.133560
402.00,0.131424
403.00,0.129486
404.00,0.127380
405.00,0.125519
406.00,0.123627
407.00,0.121765
408.00,0.119949
409.00,0.118393
410.00,0.116699
411.00,0.115021
412.00,0.113571
413.00,0.112122
414.00,0.110718
415.00,0.109421
416.00,0.108322
417.00,0.107300
418.00,0.106186
419.00,0.105103
420.00,0.104172
421.00,0.103256
422.00,0.102524
423.00,0.101837
424.00,0.101089
425.00,0.100601
426.00,0.100006
427.00,0.099243
428.00,0.098984
429.00,0.098663
430.00,0.098267
431.00,0.098099
432.00,0.097992
433.00,0.097809
434.00,0.097702
435.00,0.097626
436.00,0.097672
437.00,0.097687
438.00,0.097931
439.00,0.098053
440.00,0.098297
441.00,0.098572
442.00,0.098923
443.00,0.099274
444.00,0.099579
445.00,0.099945
446.00,0.100510
447.00,0.101166
448.00,0.101837
449.00,0.102493
450.00,0.103104
451.00,0.103729
452.00,0.104553
453.00,0.105347
454.00,0.106125
455.00,0.106934
456.00,0.107773
457.00,0.108719
458.00,0.109634
459.00,0.110718
460.00,0.111786
461.00,0.112839
462.00,0.113968
463.00,0.115067
464.00,0.116287
465.00,0.117523
466.00,0.118713
467.00,0.120209
468.00,0.121490
469.00,0.122864
470.00,0.124329
471.00,0.125732
472.00,0.127335
473.00,0.128784
474.00,0.130280
475.00,0.131912
476.00,0.133545
477.00,0.135254
478.00,0.136887
479.00,0.138535
480.00,0.140259
481.00,0.141907
482.00,0.143616
483.00,0.145477
484.00,0.147186
485.00,0.148941
486.00,0.150955
487.00,0.152756
488.00,0.154556
489.00,0.156342
490.00,0.158340
491.00,0.160233
492.00,0.162186
493.00,0.164261
494.00,0.166153
495.00,0.168137
496.00,0.170059
497.00,0.171844
498.00,0.173965
499.00,0.175980
500.00,0.177933
501.00,0.179977
502.00,0.181946
503.00,0.184006
504.00,0.185898
505.00,0.187866
506.00,0.189728
507.00,0.191788
508.00,0.193848
509.00,0.195831
510.00,0.197800
511.00,0.199738
512.00,0.201797
513.00,0.203796
514.00,0.205734
515.00,0.207794
516.00,0.209869
517.00,0.211868
518.00,0.213928
519.00,0.216049
520.00,0.218140
521.00,0.220139
522.00,0.222214
523.00,0.224274
524.00,0.226227
525.00,0.228226
526.00,0.230423
527.00,0.232483
528.00,0.234558
529.00,0.236664
530.00,0.238678
531.00,0.240906
532.00,0.242920
533.00,0.244995
534.00,0.247040
535.00,0.249283
536.00,0.251450
537.00,0.253647
538.00,0.255905
539.00,0.258179
540.00,0.260437
541.00,0.262848
542.00,0.265045
543.00,0.267456
544.00,0.269989
545.00,0.272385
546.00,0.274780
547.00,0.277191
548.00,0.279709
549.00,0.282242
550.00,0.284729
551.00,0.287277
552.00,0.289749
553.00,0.292389
554.00,0.294968
555.00,0.297638
556.00,0.300140
557.00,0.302719
558.00,0.305283
559.00,0.307983
560.00,0.310638
561.00,0.313278
562.00,0.315918
563.00,0.318588
564.00,0.321045
565.00,0.323853
566.00,0.326462
567.00,0.328979
568.00,0.331375
569.00,0.333923
570.00,0.336395
571.00,0.338623
572.00,0.341095
573.00,0.343414
574.00,0.345673
575.00,0.347855
576.00,0.350098
577.00,0.352081
