Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
400	0,830048	0,088287	0,07193	0,114685	0,123825	0,139359	0,117126	0,13562
401	0,82962	0,086868	0,070557	0,112885	0,121979	0,137451	0,115631	0,13356
402	0,82872	0,085129	0,069046	0,110794	0,119919	0,135361	0,113998	0,131424
403	0,828003	0,083542	0,067551	0,108902	0,117935	0,133377	0,112473	0,129486
404	0,827087	0,081787	0,065918	0,106903	0,116028	0,131409	0,110855	0,12738
405	0,826385	0,080322	0,064499	0,105103	0,114227	0,129608	0,10939	0,125519
406	0,825668	0,078781	0,062927	0,103302	0,112305	0,127777	0,107864	0,123627
407	0,825104	0,077103	0,061401	0,10144	0,110474	0,126068	0,106461	0,121765
408	0,82428	0,075516	0,059906	0,09964	0,108795	0,124222	0,105011	0,119949
409	0,823929	0,074219	0,058685	0,098129	0,107178	0,122757	0,103745	0,118393
410	0,823151	0,072678	0,057266	0,096527	0,105515	0,12114	0,102432	0,116699
411	0,822464	0,071198	0,055786	0,094849	0,103912	0,119522	0,10112	0,115021
412	0,82193	0,069794	0,054504	0,093445	0,102432	0,118027	0,09996	0,113571
413	0,821213	0,068451	0,053223	0,091934	0,100937	0,116653	0,098694	0,112122
414	0,820648	0,067154	0,051971	0,09053	0,099472	0,115295	0,097595	0,110718
415	0,820145	0,065964	0,050858	0,089294	0,098236	0,114105	0,096573	0,109421
416	0,81926	0,06488	0,04985	0,088104	0,09697	0,1129	0,095612	0,108322
417	0,818527	0,06395	0,049042	0,087036	0,095978	0,111862	0,094757	0,1073
418	0,818054	0,062851	0,048035	0,085968	0,094727	0,110733	0,093735	0,106186
419	0,817673	0,061874	0,047073	0,084824	0,093552	0,10968	0,092804	0,105103
420	0,817215	0,060883	0,046219	0,083862	0,092468	0,108688	0,091919	0,104172
421	0,816681	0,060089	0,045395	0,082901	0,091415	0,107758	0,091125	0,103256
422	0,816467	0,059341	0,044769	0,082062	0,090515	0,106964	0,090485	0,102524
423	0,816177	0,058701	0,044128	0,081314	0,089691	0,106201	0,089783	0,101837
424	0,815994	0,05806	0,043594	0,08049	0,088791	0,105484	0,089127	0,101089
425	0,815842	0,057571	0,043167	0,07988	0,088058	0,104843	0,088638	0,100601
426	0,815613	0,057129	0,04274	0,079193	0,087265	0,104095	0,087921	0,100006
427	0,81517	0,056503	0,042206	0,078415	0,086365	0,103302	0,087219	0,099243
428	0,815094	0,05629	0,042068	0,078018	0,08577	0,102905	0,086899	0,098984
429	0,815094	0,056152	0,041962	0,077667	0,085175	0,102417	0,086502	0,098663
430	0,814972	0,055939	0,041885	0,077225	0,084518	0,101974	0,086044	0,098267
431	0,814957	0,055847	0,041901	0,076889	0,084076	0,101654	0,085831	0,098099
432	0,815063	0,055923	0,042084	0,076721	0,083694	0,101364	0,085648	0,097992
433	0,815186	0,055908	0,042252	0,076416	0,08316	0,101059	0,085403	0,097809
434	0,815231	0,056122	0,042511	0,076233	0,082748	0,100784	0,085281	0,097702
435	0,815353	0,05629	0,042831	0,076019	0,082291	0,100494	0,085068	0,097626
436	0,815521	0,056686	0,043274	0,075943	0,08197	0,100372	0,085007	0,097672
437	0,815704	0,057114	0,043793	0,075958	0,081696	0,100235	0,084976	0,097687
438	0,815994	0,057739	0,044495	0,076019	0,081497	0,100266	0,085098	0,097931
439	0,816162	0,058197	0,045135	0,07605	0,081207	0,100128	0,085114	0,098053
440	0,816574	0,058853	0,045914	0,076096	0,080978	0,100098	0,08519	0,098297
441	0,817139	0,059662	0,046906	0,076309	0,080933	0,100174	0,085464	0,098572
442	0,817535	0,06041	0,047821	0,076523	0,08078	0,100311	0,085663	0,098923
443	0,817886	0,061325	0,048889	0,076797	0,080688	0,100418	0,085938	0,099274
444	0,818314	0,06221	0,049988	0,076965	0,08049	0,100449	0,086075	0,099579
445	0,818756	0,063141	0,051132	0,077118	0,080399	0,100555	0,086304	0,099945
446	0,81926	0,064316	0,052567	0,077606	0,08046	0,100754	0,086777	0,10051
