tiempo(min),ph,temperatura(ºC),potencial(mv),conductividad(micro S).EL 6 vol in= 600 ml.
0,5.58,19,77,0.69
2,5.38,19,89.8,2.48
3,5.18,19,100.3,3.28
5,4.97,19,113.3,4.6
8,4.8,19.1,120.2,6.08
11,4.69,19.2,127,8.13
14,4.57,19.3,132.5,10.58
17,4.47,19.5,138.7,11.92
20,4.41,19.6,143.4,14.18
25,4.32,19.8,147.7,16.34
30,4.23,20,151.8,20.3
40,4.12,20.4,158.3,27.4
50,4.02,20.6,164.4,36.1
60,3.93,20.7,169,43
70,3.86,20.9,173.1,50.3
80,3.8,21,176.4,61.1
90,3.75,21.1,178.9,67.8
100,3.72,21.2,181.3,73.5
