tiempo(min),ph,temperatura(ºC),potencial(mv),conductividad(micro S).EL 3. vol in= 400 ml. vol fin = 280 ml
0,5.36,18.5,91.1,7.02
2,5.23,18.7,97.9,7.70
3,5.18,18.7,100.3,8.01
4,5.14,18.7,102.3,8.2
6,5.09,18.8,105.6,8.52
8,4.98,18.9,111,9.4
10,4.92,19,115.17,10.35
12,4.85,19.1,117.8,10.86
14,4.8,19.2,120.7,11.41
16,4.76,19.3,123.4,12.01
18,4.71,19.4,125.8,12.65
20,4.65,19.5,129,13.64
23,4.55,19.6,134.9,15.25
26,4.45,19.8,139,17.20
29,4.37,19.9,145,19.10
32,4.29,20,148.7,21.5
35,4.2,20.1,153.7,25.2
38,4.13,20.2,157.7,28.6
41,4.07,20.3,160.6,31.6
46,4.01,20.4,164,35.3
51,3.97,20.5,166.6,38.8
56,3.92,20.6,168.9,42.3
61,3.88,20.7,171.3,45.2
66,3.85,20.8,173,48.4
71,3.82,20.8,174.5,51.2
76,3.78,20.8,176.6,54.3
81,3.76,20.9,178.1,58.4
88,3.72,21,180.3,62.9
95,3.69,21,181.8,66.2
102,3.66,21,183.3,69.7
109,3.63,21.1,185,74.6
119,3.59,21.1,187,79.3
128,3.56,21.1,189,85.4
137,3.53,21.1,190.5,90.7
146,3.5,21.1,192.2,95.8
155,3.47,21.2,193.7,102.1
164,3.44,21.2,195.2,107.2
173,3.42,21.2,196.5,113
182,3.4,21.2,197.9,119
191,3.36,21.2,199.5,124.4
200,3.34,21.2,200.8,124.5
209,3.31,21.3,202.4,180
