tiempo(min),ph,temperatura(ºC),potencial(mv),conductividad(micro S).EL 6. vol in= 600 ml.
0, 5.13,19.4,100.8,17.41
2,5.04,20,106,40
4,4.91,20.2,112.6,46.1
6,4.82,20.3,117.4,45.8
8,4.70,20.4,123.7,43.2
10,4.62,20.6,129,41.8
16,4.41,21,140.2,40.5
21,4.3,21.3,146.6,41.8
31,4.14,21.8,155,44.4
41,4.05,22.1,160.5,51.1    
51,3.96,22.5,165.5,58.8
61,3.89,22.7,169.7,65.5
71,3.82,22.9,174,72.5
81,3.76,23,177.5,80
91,3.7,23,180.5,86.6
101,3.65,23,183.5,93.1
111,3.61,23,184.8,100
121,3.58,23,186.6,105.8
131,3.55,23,188.5,111.5
141,3.51,23,190.3,118
151,3.49,22.9,191.8,124.3
161,3.46,22.9,193.3,127.3
171,3.44,23,194.6,136.7
181,3.42,23.1,195.9,143
191,3.39,23.1,197.6,150.2
202,3.36,23.1,198.8,157
212,3.34,23.2,200,167.2
