tiempo(min),ph,temperatura(ºC),potencial(mv),conductividad(micro S).EL 3. vol in= 400 ml vol fin=387 ml. linea 13 y 15 descansos
0,5.48,17.3,83.5,9.97
2,5.36,17.5,91.7,9.93
4,4.98,17.7,110.4,10.57
7,4.65,17.9,129.2,15.16
10.25,4.47,18.2,138.4,19.85
13.25,4.35,18.4,144.7,19.98
17,4.22,18.7,152.1,24.9
22,4.09,19.1,159.5,31.4
27,3.98,19.4,165.2,39
34,3.88,19.7,171,52
41,3.79,20.1,176.1,56.6
48,3.71,20.3,180.4,66.5
55,3.65,20.5,184,75
63.3,3.56,20.7,188.7,86.1
73,3.51,20.2,191.2,101.1
83,3.44,20.6,195.4,115
93,3.37,20.9,198.9,128.8
103,3.32,21.2,201.9,143.7
113,3.26,21.3,204.7,157.9
123,3.22,21.5,207.6,171.6
133,3.17,21.6,210.2,186.9
143,3.13,21.7,212.5,201
153,3.09,21.7,214.6,217
163,3.06,21.8,216.6,233
173,3.02,21.9,218.7,248
