tiempo(min),ph,temperatura(ºC),potencial(mv),conductividad(micro S).EL 3 4 y 5. vol in= 400 ml.

0,5.15,17.6,99.8,2.9
2,5.01,17.8,106.7,6.2
4,4.8,17.9,117.5,6.96
6,4.65,18.1,128.5,9.52
8,4.53,18.2,134.1,12.2
10,4.4,18.4,141.5,15.1
14.5,4.22,18.8,149.8,21.2
18.5,4.12,19.2,156.9,26
22.5,4.01,19.5,163.3,32.4
27,3.89,19.9,170,39.1
32,3.82,20.2,174.4,45.1
37,3.76,20.5,178,58.1
42,3.71,20.7,180.6,70.4
47,3.65,20.9,183.8,71
52,3.6,21.1,187,77.4
59,3.53,21.4,191,88.2
66,3.47,21.7,194.6,128.7
73,3.43,21.8,196.6,129.5
80,3.4,21.9,198.6,151.6
90,3.34,22.1,202,140
100,3.3,22.2,204.5,143
110,3.24,22.5,208.2,174
120,3.18,22.7,211.3,196
130,3.15,20.8,211.8,243
140,3.13,21.2,213.2,220
150,3.10,21.6,215,236
160,3.08,21.9,216.7,289
170,3.06,22.1,218,298
180,3.03,22.3,219.6,277
190,3,22.4,221.4,289
201,2.97,22.6,223.2,310
210,2.94,22.6,224.7,321
