tiempo(min),ph,temperatura(ºC),potencial(mv),conductividad(micro S).EL 3 4 y 5. vol in= 600 ml.
0,5.37,18.3,85.1,1.17
3,4.71,18.6,121.6,3.59
6,4.37,18.8,140.4,8.74
9,4.16,19.1,152.6,16.08
12,4.09,19.3,155.8,21.7
15,4.01,19.5,160.6,27.6
20,3.86,19.9,169.6,40.1
25,3.76,20.3,174.4,51.9
35,3.6,20.8,183.8,75.3
45,3.47,21.3,190.9,99.6
55,3.37,21.7,196.7,125.7
65,3.29,21.9,201.1,150.2
77,3.22,22.1,205.4,177.3
85,3.16,22.3,208.2,197.3
96,3.11,22.6,211.6,225
105,3.06,22.8,214.3,249
115,2.99,23,217.5,281
130,2.91,18.7,218.2,310
140,2.88,20.8,221.6,357
150,2.84,21.4,223.8,383
160,2.81,21.7,225.7,408
170,2.77,22.2,228.2,438
180,2.74,22.7,230.5,474
190,2.7,23,233,511
200,2.66,23.3,235,547
