t,ph,cond. cuatro días después el ph se mantuvo en 3.29
0,5.17,102.9
50,5.10,104.2
80,5.04,110.2
120,4.88,118.2
150,4.79,123.3
170,4.72,126
200,4.67,129.6
240,4.6,133.2
280,4.55,136.3
320,4.49,140
360,4.45,142.3
420,4.4,144.6
480,4.35,146.4
540,4.32,148.7
600,4.29,150
660,4.23,153.5
720,4.2,155.3
780,4.17,156.8
840,4.15,157.8
900,4.13,159.2
960,4.11,160.5
1020,4.08,162
1080,4.04,164.7
1140,4.03,165
1200,4.00,166
1260,3.98,168
1320,3.95,169.1
1380,3.94,170
1440,3.92,171.1
1500,3.9,172
1560,3.88,173.3
1620,3.86,174.4
1680,3.85,175.2
1740,3.82,176.2
1800,3.82,176.7
1860,3.81,177.5
1920,3.79,178.3
1980,3.78,179
2040,3.76,180.2
2100,3.74,181.1
2220,3.71,183
2340,3.69,184
2460,3.67,185.2
2580,3.65,185.8
2700,3.64,186.7
2820,3.62,187.4
2940,3.61,188.5
3060,3.59,189.6
3180,3.57,190
3300,3.56,191.4
3420,3.54,192.3
3540,3.52,193.4
3660,3.5,194.8
3780,3.48,195.8
3900,3.46,196
4020,3.45,197.5
4320,3.42,199
4620,3.40,200
4920,3.37,202
5220,3.34,203.6
5520,3.31,205.2
5760,3.29,207

